ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,l_ipn
2006-07-08,5.682765821985317,4.163255295380803,7.196986455004639,5.682765821985317,5.682765821985317,0.09804101953014034,0.09804101953014034,0.09804101953014034,0.09804101953014034,0.09804101953014034,0.09804101953014034,0.0,0.0,0.0,5.780806841515457,0
2006-07-09,5.697371172469503,3.8678035829356268,6.709577818680736,5.697371172469503,5.697371172469503,-0.3738233778452715,-0.3738233778452715,-0.3738233778452715,-0.3738233778452715,-0.3738233778452715,-0.3738233778452715,0.0,0.0,0.0,5.323547794624232,0
2006-07-10,5.71197652295369,3.98836590595516,7.175333743655663,5.71197652295369,5.71197652295369,-0.08645075549972607,-0.08645075549972607,-0.08645075549972607,-0.08645075549972607,-0.08645075549972607,-0.08645075549972607,0.0,0.0,0.0,5.625525767453964,0
2006-07-11,5.726581873437876,4.566601754668222,7.699681289412745,5.726581873437876,5.726581873437876,0.5134671404419525,0.5134671404419525,0.5134671404419525,0.5134671404419525,0.5134671404419525,0.5134671404419525,0.0,0.0,0.0,6.240049013879829,0
2006-07-12,5.741187223910031,4.008478514314825,7.032083084942152,5.741187223910031,5.741187223910031,-0.16935936895160802,-0.16935936895160802,-0.16935936895160802,-0.16935936895160802,-0.16935936895160802,-0.16935936895160802,0.0,0.0,0.0,5.571827854958423,0
2006-07-13,5.755792574382186,4.294247618226784,7.224706098747272,5.755792574382186,5.755792574382186,-0.009783101568432817,-0.009783101568432817,-0.009783101568432817,-0.009783101568432817,-0.009783101568432817,-0.009783101568432817,0.0,0.0,0.0,5.746009472813753,0
2006-07-14,5.77039792485242,4.304126763402331,7.303191212815087,5.77039792485242,5.77039792485242,0.027908443894735152,0.027908443894735152,0.027908443894735152,0.027908443894735152,0.027908443894735152,0.027908443894735152,0.0,0.0,0.0,5.798306368747156,0
2006-07-15,5.785003275322657,4.4353425822114545,7.434449054435444,5.785003275322657,5.785003275322657,0.09804101952952517,0.09804101952952517,0.09804101952952517,0.09804101952952517,0.09804101952952517,0.09804101952952517,0.0,0.0,0.0,5.883044294852182,0
2006-07-16,5.799608625792891,4.010673974110059,6.929698566760745,5.799608625792891,5.799608625792891,-0.3738233778448904,-0.3738233778448904,-0.3738233778448904,-0.3738233778448904,-0.3738233778448904,-0.3738233778448904,0.0,0.0,0.0,5.425785247948001,0
2006-07-17,5.814213976252619,4.221863071902771,7.2862561509378585,5.814213976252619,5.814213976252619,-0.08645075550206359,-0.08645075550206359,-0.08645075550206359,-0.08645075550206359,-0.08645075550206359,-0.08645075550206359,0.0,0.0,0.0,5.727763220750555,0
2006-07-18,5.828819326712346,4.924283557981607,7.953680424698152,5.828819326712346,5.828819326712346,0.5134671404413075,0.5134671404413075,0.5134671404413075,0.5134671404413075,0.5134671404413075,0.5134671404413075,0.0,0.0,0.0,6.342286467153654,0
2006-07-19,5.843424677172074,4.0874053886068795,7.166031098055846,5.843424677172074,5.843424677172074,-0.169359368952044,-0.169359368952044,-0.169359368952044,-0.169359368952044,-0.169359368952044,-0.169359368952044,0.0,0.0,0.0,5.67406530822003,0
2006-07-20,5.8580300276444515,4.285910713801925,7.27169719149135,5.8580300276444515,5.8580300276444515,-0.009783101568339869,-0.009783101568339869,-0.009783101568339869,-0.009783101568339869,-0.009783101568339869,-0.009783101568339869,0.0,0.0,0.0,5.848246926076111,0
2006-07-21,5.872635378116828,4.356472556893505,7.355515186408003,5.872635378116828,5.872635378116828,0.02790844389459963,0.02790844389459963,0.02790844389459963,0.02790844389459963,0.02790844389459963,0.02790844389459963,0.0,0.0,0.0,5.900543822011428,0
2006-07-22,5.887240728591474,4.527244622130806,7.589135182757917,5.887240728591474,5.887240728591474,0.09804101952988552,0.09804101952988552,0.09804101952988552,0.09804101952988552,0.09804101952988552,0.09804101952988552,0.0,0.0,0.0,5.985281748121359,0
2006-07-23,5.901846079066118,4.005463059703643,7.114878417946853,5.901846079066118,5.901846079066118,-0.3738233778459295,-0.3738233778459295,-0.3738233778459295,-0.3738233778459295,-0.3738233778459295,-0.3738233778459295,0.0,0.0,0.0,5.528022701220189,0
2006-07-24,5.916451429540762,4.29669737099493,7.2698898975927975,5.916451429540762,5.916451429540762,-0.08645075550186726,-0.08645075550186726,-0.08645075550186726,-0.08645075550186726,-0.08645075550186726,-0.08645075550186726,0.0,0.0,0.0,5.830000674038895,0
2006-07-25,5.9310567800088165,4.944172181664795,8.04769452977265,5.9310567800088165,5.9310567800088165,0.5134671404406626,0.5134671404406626,0.5134671404406626,0.5134671404406626,0.5134671404406626,0.5134671404406626,0.0,0.0,0.0,6.444523920449479,0
2006-07-26,5.94566213047687,4.262939395699323,7.384688964691644,5.94566213047687,5.94566213047687,-0.16935936895248008,-0.16935936895248008,-0.16935936895248008,-0.16935936895248008,-0.16935936895248008,-0.16935936895248008,0.0,0.0,0.0,5.77630276152439,0
2006-07-27,5.960267480944925,4.511931180675304,7.5332151667448395,5.960267480944925,5.960267480944925,-0.009783101568672568,-0.009783101568672568,-0.009783101568672568,-0.009783101568672568,-0.009783101568672568,-0.009783101568672568,0.0,0.0,0.0,5.9504843793762525,0
