date,l_ipn,f,rolling_mean,rolling_std,upper_limit,anomaly,lag_1,lag_3,lag_7,pct_change,rolling_max,rolling_min,momentum,deviation_from_mean,z_score,anomaly_int,consecutive_anomalies,day_of_week,is_weekend,anomaly_isoforest,risk_score
2006-07-08,0,361,720.0,1027.4881994456189,2774.9763988912377,False,197.0,158.0,106.0,0.8324873096446701,2971.0,158.0,164.0,-359.0,-0.34939573680723635,0,0.0,5,1,0,0.33041033529370023
2006-07-09,0,68,598.2857142857143,1050.0631273540516,2698.4119689938175,False,361.0,184.0,920.0,-0.8116343490304709,2971.0,68.0,-293.0,-530.2857142857143,-0.5050036473253674,0,0.0,6,1,0,0.3796598638214963
2006-07-10,0,258,599.5714285714286,1049.5695716408159,2698.71057185306,False,68.0,197.0,249.0,2.7941176470588234,2971.0,68.0,190.0,-341.57142857142856,-0.3254395273512426,0,0.0,0,0,0,0.8124332463376407
2006-07-11,0,118,192.0,95.75489543621144,383.50979087242285,False,258.0,361.0,2971.0,-0.5426356589147288,361.0,68.0,-140.0,-74.0,-0.7728063608114176,0,0.0,1,0,0,0.40614114101267834
2006-07-12,0,236,203.14285714285714,95.67728495908864,394.4974270610344,False,118.0,68.0,158.0,1.0,361.0,68.0,118.0,32.85714285714286,0.3434163023859787,0,0.0,2,0,0,0.37019570583509254
2006-07-13,0,145,197.57142857142858,98.08305518429523,393.737538940019,False,236.0,258.0,184.0,-0.385593220338983,361.0,68.0,-91.0,-52.571428571428584,-0.5359888424433759,0,0.0,3,0,0,0.28399439993992726
2006-07-14,0,132,188.28571428571428,101.17429562511359,390.63430553594145,False,145.0,118.0,197.0,-0.08965517241379306,361.0,68.0,-13.0,-56.28571428571428,-0.5563241965234993,0,0.0,4,0,0,0.217127261886673
2006-07-15,0,333,184.28571428571428,93.46784524764587,371.221404781006,False,132.0,236.0,361.0,1.522727272727273,333.0,68.0,201.0,148.71428571428572,1.5910741219027953,0,0.0,5,1,0,0.9375577608477965
2006-07-16,0,784,286.57142857142856,232.85035047060924,752.2721295126471,True,333.0,145.0,68.0,1.3543543543543541,784.0,118.0,451.0,497.42857142857144,2.1362585414221753,1,1.0,6,1,0,1.3362790780863498
2006-07-17,0,1462,458.57142857142856,499.8405936372305,1458.2526158458895,True,784.0,132.0,258.0,0.864795918367347,1462.0,118.0,678.0,1003.4285714285714,2.0074971183350088,1,2.0,0,0,0,1.4188229710090898
2006-07-18,0,4191,1040.4285714285713,1468.7962029207067,3978.0209772699845,True,1462.0,333.0,118.0,1.8666210670314638,4191.0,132.0,2729.0,3150.5714285714284,2.1450024182091982,1,3.0,1,0,0,1.9674061131310854
2006-07-19,0,166,1030.4285714285713,1475.4091926358212,3981.2469567002136,False,4191.0,784.0,236.0,-0.9603913147220233,4191.0,132.0,-4025.0,-864.4285714285713,-0.5858907277277844,0,2.0,2,0,0,0.9451595833852303
2006-07-20,0,1501,1224.142857142857,1428.0389150359817,4080.220687214821,False,166.0,1462.0,145.0,8.042168674698795,4191.0,132.0,1335.0,276.8571428571429,0.19387226636708593,0,1.0,3,0,0,2.3283974619031786
